filename,text
.\data\Client7\clips\common_voice_en_42727499.mp3,It is currently held at the Carthage National Museum.
.\data\Client7\clips\common_voice_en_42727500.mp3,The current Moderator is Dan Morrell.
.\data\Client7\clips\common_voice_en_42727501.mp3,"Mushroom music described the song as ""anthemic guitar pop smash""."
.\data\Client7\clips\common_voice_en_42727502.mp3,They washed it with goat's milk and rainwater and vinegar.
.\data\Client7\clips\common_voice_en_42727503.mp3,"She was born in Cork, but grew up in England."
.\data\Client7\clips\common_voice_en_42727504.mp3,It's a style that most black musicians have abandoned for dance music and rap.
.\data\Client7\clips\common_voice_en_42727506.mp3,Miller has represented Scotland three times.
.\data\Client7\clips\common_voice_en_42727507.mp3,These are driven vertically into the ground and bonded together with bare copper wire.
.\data\Client7\clips\common_voice_en_42727508.mp3,"Friedman's album ""The Treehouse Journals"" was financed entirely by his fans via his website."
.\data\Client7\clips\common_voice_en_42727510.mp3,It has unique partnership projects with Ministries of many countries.
.\data\Client7\clips\common_voice_en_42727539.mp3,"Subsequent replays, however, aired the video in its original format."
.\data\Client7\clips\common_voice_en_42727540.mp3,"Unfortunately, Jackson was retiring and sold his operation to crew chief Andy Petree."
.\data\Client7\clips\common_voice_en_42727541.mp3,The loss of Chunuk Bair marked the end of the Battle of Sari Bair.
.\data\Client7\clips\common_voice_en_42727542.mp3,Manfred then imprisons Theodore while Isabella hides.
.\data\Client7\clips\common_voice_en_42727543.mp3,The high explosives also disrupt the ability of firefighters to douse the fires.
.\data\Client7\clips\common_voice_en_42727544.mp3,But Raschi struck out Billy Cox to end the inning.
.\data\Client7\clips\common_voice_en_42727545.mp3,The town of Germantown formerly comprised the area now in the village of Germantown.
.\data\Client7\clips\common_voice_en_42727546.mp3,"Soon enough, we get another call - they're shooting a video for the song."
.\data\Client7\clips\common_voice_en_42727547.mp3,The club plays at Woodside Road.
.\data\Client7\clips\common_voice_en_42727548.mp3,A number of the members of the church were Underground Railroad conductors.
.\data\Client7\clips\common_voice_en_42728817.mp3,The mucus is colourless.
.\data\Client7\clips\common_voice_en_42728818.mp3,Program is mainly produced in Bosnian language and Croatian language.
.\data\Client7\clips\common_voice_en_42728819.mp3,Displacement was normal and deep load.
.\data\Client7\clips\common_voice_en_42728820.mp3,"During this time he wrote some works, at the insistence of Marin Mersenne."
.\data\Client7\clips\common_voice_en_42728821.mp3,She attended primary and secondary school in Gombe.
.\data\Client7\clips\common_voice_en_42728822.mp3,He has said he models his game on Michael Carrick.
.\data\Client7\clips\common_voice_en_42728823.mp3,My sister is going to join a gym to start exercising regularly.
.\data\Client7\clips\common_voice_en_42728824.mp3,Defining P and Q falls outside the framework of this article.
.\data\Client7\clips\common_voice_en_42728825.mp3,Some species of the genus are used as herbal remedies.
.\data\Client7\clips\common_voice_en_42728826.mp3,The scandal gave Republicans an issue for the upcoming campaign.
.\data\Client7\clips\common_voice_en_42728827.mp3,Sit and Go tournaments began as soon as the table was completely occupied.
.\data\Client7\clips\common_voice_en_42728828.mp3,All the idols are made of marble.
.\data\Client7\clips\common_voice_en_42728829.mp3,His older sister also attended Florida Southern.
.\data\Client7\clips\common_voice_en_42728830.mp3,He retired for the last time as captain in the Royal Navy.
.\data\Client7\clips\common_voice_en_42728831.mp3,"He was replaced as head coach by his assistant, Jeff Van Gundy."
.\data\Client7\clips\common_voice_en_42728832.mp3,The engine weighs as installed.
.\data\Client7\clips\common_voice_en_42728833.mp3,"Additionally, their customer service is top-notch."
.\data\Client7\clips\common_voice_en_42728834.mp3,He is commemorated by the village Memorial Hall.
.\data\Client7\clips\common_voice_en_42728835.mp3,Finger spinners make use of their fingers to rotate the ball.
.\data\Client7\clips\common_voice_en_42728836.mp3,This discount was authorized at the time of the original construction of the facility.
.\data\Client7\clips\common_voice_en_42728837.mp3,He ranks second in total points scored for the Aggies.
.\data\Client7\clips\common_voice_en_42728838.mp3,"A display honoring Henry Kaufman, founder of Kaufman Seeds, is also available to visitors."
.\data\Client7\clips\common_voice_en_42729103.mp3,See for example Neumann boundary condition.
.\data\Client7\clips\common_voice_en_42729104.mp3,John was supported by the population of Paris and the University.
.\data\Client7\clips\common_voice_en_42729106.mp3,"Comparatively speaking, acquiring these skills can be likened to learning how to swim."
.\data\Client7\clips\common_voice_en_42729107.mp3,The inguinal canals are situated just above the medial half of the inguinal ligament.
.\data\Client7\clips\common_voice_en_42729109.mp3,This resulted in the Allied blockade of the Otranto Strait.
.\data\Client7\clips\common_voice_en_42729117.mp3,"A career diplomat, Wang was previously Vice Minister of Foreign Affairs."
.\data\Client7\clips\common_voice_en_42729118.mp3,Flak jackets are now generally considered to be inferior to ballistic vests.
.\data\Client7\clips\common_voice_en_42729119.mp3,Jago catches Joe and calls the police but he does not press charges.
.\data\Client7\clips\common_voice_en_42729120.mp3,"youngest daughter, Ethel Lilian, is the most famous."
.\data\Client7\clips\common_voice_en_42729121.mp3,The protagonist wins and Eric is booted off the tour.
.\data\Client7\clips\common_voice_en_42729326.mp3,While on the Cape Verde Islands Fea collected a specimen of an unknown petrel.
.\data\Client7\clips\common_voice_en_42729327.mp3,The two clubs are the most supported and successful in the entire country.
.\data\Client7\clips\common_voice_en_42729328.mp3,The business eventually expanded throughout the Tokyo area.
.\data\Client7\clips\common_voice_en_42729329.mp3,"As such, it was probably the first American comic strip to include recurring characters."
.\data\Client7\clips\common_voice_en_42729330.mp3,"Secondly, matching games promote critical thinking and problem-solving skills."
.\data\Client7\clips\common_voice_en_42730432.mp3,It is a member of the Prince Albert Grand Council.
.\data\Client7\clips\common_voice_en_42730433.mp3,She loved to ride horses as a child.
.\data\Client7\clips\common_voice_en_42730434.mp3,As such it is an important concept in the internal martial arts.
.\data\Client7\clips\common_voice_en_42730435.mp3,"Mackie's other daughter, Hilary, is a classicist at Rice University."
.\data\Client7\clips\common_voice_en_42730436.mp3,"The proportion of hunters who participate remotely has grown over time, as well."
.\data\Client7\clips\common_voice_en_42730437.mp3,It is related to soup.
.\data\Client7\clips\common_voice_en_42730438.mp3,He is a left-handed batsman and a left-arm medium-fast bowler.
.\data\Client7\clips\common_voice_en_42730439.mp3,Her thesis concerned the neural mechanisms underlying sleep state in cats.
.\data\Client7\clips\common_voice_en_42730440.mp3,"The latter has three subunits for simple integer, complex integer and floating-point instructions."
.\data\Client7\clips\common_voice_en_42730441.mp3,The locomotives are fitted with monomotor bogies.
.\data\Client7\clips\common_voice_en_42730530.mp3,The logistic loss is sometimes called cross-entropy loss.
.\data\Client7\clips\common_voice_en_42730531.mp3,Church Relations also works to recruit students from American Baptist Churches across the country.
.\data\Client7\clips\common_voice_en_42730532.mp3,This mass transformation is a phenomenon of geological magnitude.
.\data\Client7\clips\common_voice_en_42730533.mp3,A very large number given its population.
.\data\Client7\clips\common_voice_en_42730534.mp3,"Tanaka was born in Oki District, Shimane Prefecture, Japan."
.\data\Client7\clips\common_voice_en_42730630.mp3,It is used principally by trappers and hunters to transport people and goods.
.\data\Client7\clips\common_voice_en_42730631.mp3,Eltham has one island platform with two faces.
.\data\Client7\clips\common_voice_en_42730632.mp3,That makes it the oldest known impact crater on Earth.
.\data\Client7\clips\common_voice_en_42730633.mp3,She received no formal schooling: her mother educated the family at home.
.\data\Client7\clips\common_voice_en_42730634.mp3,His grave is at Santa Monica's Woodlawn Cemetery.
.\data\Client7\clips\common_voice_en_42730922.mp3,John the First was also of illegitimate birth.
.\data\Client7\clips\common_voice_en_42730923.mp3,It is not clear if this was the case.
.\data\Client7\clips\common_voice_en_42730924.mp3,It has O octahedral symmetry.
.\data\Client7\clips\common_voice_en_42730926.mp3,The serpent was thought to be the giver of children.
.\data\Client7\clips\common_voice_en_42730927.mp3,This signified a radical change in the video editing workflow.
.\data\Client7\clips\common_voice_en_42730928.mp3,Muslim adherents are mainly rural and have interbred with the adjacent Tigre.
.\data\Client7\clips\common_voice_en_42730929.mp3,These Cornelius designs were unusual for being not only forward swept but also tailless.
.\data\Client7\clips\common_voice_en_42730930.mp3,The building features a pair of windowed Scottish baronial style tower staircases.
.\data\Client7\clips\common_voice_en_42730931.mp3,The pleural space contains pleural fluid.
.\data\Client7\clips\common_voice_en_42730947.mp3,These sails do not have tacks.
.\data\Client7\clips\common_voice_en_42730948.mp3,The code samples were developed into an open source project.
.\data\Client7\clips\common_voice_en_42730949.mp3,Oilphase and Camco International were also purchased.
.\data\Client7\clips\common_voice_en_42730950.mp3,It has been suggested that the rectangular footprints date to a later era.
.\data\Client7\clips\common_voice_en_42730951.mp3,"The Prefect is astonished, but knows that Dupin is not joking."
.\data\Client7\clips\common_voice_en_42731138.mp3,"Deinotherium's range covered parts of Asia, Africa, and Europe."
.\data\Client7\clips\common_voice_en_42731139.mp3,Use of breath abdominal 'hollowing' to promote iliopsoas initiation.
.\data\Client7\clips\common_voice_en_42731140.mp3,The official website of Boniface Wimmer can be found here.
.\data\Client7\clips\common_voice_en_42731141.mp3,Music was key to the Disney Brother Studios' success.
.\data\Client7\clips\common_voice_en_42731142.mp3,He went to the Cicero public schools and to Morton College.
.\data\Client7\clips\common_voice_en_42731143.mp3,"Afterwards, Enomoto held a series of high posts in the Japanese government."
.\data\Client7\clips\common_voice_en_42731144.mp3,He would end the season seventh in points.
.\data\Client7\clips\common_voice_en_42731145.mp3,"Previously, these collections were stored in different locations, but a new complex near St."
.\data\Client7\clips\common_voice_en_42731146.mp3,Some sources add Athens and Naples to his travels.
.\data\Client7\clips\common_voice_en_42731147.mp3,"The current governor is Susana Martinez, a Republican."
.\data\Client7\clips\common_voice_en_42731149.mp3,"The stiffening process is a low-cost, in-house alternative to library binding of paperbacks."
.\data\Client7\clips\common_voice_en_42731150.mp3,The nearest railway station is at Patchway about a mile and a half away.
.\data\Client7\clips\common_voice_en_42731151.mp3,"Whilst studying at Florida, Rice married the screenwriter and novelist, Daniel H. Vining."
.\data\Client7\clips\common_voice_en_42731152.mp3,Sepulana is spoken in Bushbuckridge area by the Mapulana people.
.\data\Client7\clips\common_voice_en_42731153.mp3,His first business took him to Madrid and France.
.\data\Client7\clips\common_voice_en_42731174.mp3,"He was born in Daylesford, Victoria, Australia."
.\data\Client7\clips\common_voice_en_42731175.mp3,"Finally, you should share some of these sentences with the class."
.\data\Client7\clips\common_voice_en_42731176.mp3,Delgado Community College is under the leadership of Chancellor Joan Davis.
.\data\Client7\clips\common_voice_en_42731177.mp3,The International Studies Program distinguishes the school by providing a uniquely focused program.
.\data\Client7\clips\common_voice_en_42731178.mp3,"However, his first album, Look!"
.\data\Client7\clips\common_voice_en_42731179.mp3,She has painting in Swedish collections.
.\data\Client7\clips\common_voice_en_42731180.mp3,But he refused and then she decided to file for divorce from him.
.\data\Client7\clips\common_voice_en_42731181.mp3,Johnson has nine children and ten grandchildren.
.\data\Client7\clips\common_voice_en_42731182.mp3,Even more uncommon is the description of one with legs.
.\data\Client7\clips\common_voice_en_42731183.mp3,"He chose, however, not to take the usual route, by way of Panama."
.\data\Client7\clips\common_voice_en_42731189.mp3,Little is known about his years in his native country.
.\data\Client7\clips\common_voice_en_42731190.mp3,Scott was the valedictorian of his high school class at Proctor High School.
.\data\Client7\clips\common_voice_en_42731191.mp3,"It might do this through digital, analog or mixed-mode electronics."
.\data\Client7\clips\common_voice_en_42731192.mp3,"The two clashed professionally and personally, and the conflict was evident in their reporting."
.\data\Client7\clips\common_voice_en_42731193.mp3,Prominent prisoners often served their entire sentences in Evin.
.\data\Client7\clips\common_voice_en_42731194.mp3,"In conclusion, the languages in my country reflect its cultural diversity and historical influences."
.\data\Client7\clips\common_voice_en_42731195.mp3,"Overall, London is a dynamic and bustling metropolis with a long and fascinating history."
.\data\Client7\clips\common_voice_en_42731196.mp3,The Higher section was also updated to the new Curriculum for Excellence qualification.
.\data\Client7\clips\common_voice_en_42731197.mp3,He was eventually transferred again and placed in general population.
.\data\Client7\clips\common_voice_en_42731198.mp3,"The office is the national centre for population, regional and demographic statistics."
.\data\Client7\clips\common_voice_en_42731204.mp3,He attended the University of Notre Dame in Indiana.
.\data\Client7\clips\common_voice_en_42731205.mp3,Wells' heart to gain part of his courage.
.\data\Client7\clips\common_voice_en_42731206.mp3,During her career she also competed at the Empire State Games.
.\data\Client7\clips\common_voice_en_42731207.mp3,There is also a four-story parking garage.
.\data\Client7\clips\common_voice_en_42731208.mp3,She was in a coma for three weeks.
.\data\Client7\clips\common_voice_en_42731209.mp3,"An astragal may also be known as a ""meeting stile seal""."
.\data\Client7\clips\common_voice_en_42731210.mp3,The following winter the communists launched their all-out Tet Offensive.
.\data\Client7\clips\common_voice_en_42731211.mp3,Spectators agree that broomball is an extremely humorous sport to watch.
.\data\Client7\clips\common_voice_en_42731212.mp3,Kidnapping is an offence under the common law of England and Wales.
.\data\Client7\clips\common_voice_en_42731213.mp3,He studied in civil engineering at the University of Paris.
.\data\Client7\clips\common_voice_en_42732047.mp3,The Japan Meteorological Agency gave the region rank C in volcanic activity.
.\data\Client7\clips\common_voice_en_42732048.mp3,The Church has since altered the monument.
.\data\Client7\clips\common_voice_en_42732049.mp3,"In recent years, the term ""political moderates"" has gained traction as a buzzword."
.\data\Client7\clips\common_voice_en_42732050.mp3,He sees no more of her.
.\data\Client7\clips\common_voice_en_42732051.mp3,"It combines cutting-edge technology with an elegant design, providing an exceptional viewing experience."
.\data\Client7\clips\common_voice_en_42732072.mp3,The Court affirmed the Court of Appeal's granting of the writ.
.\data\Client7\clips\common_voice_en_42732311.mp3,An accompanying soundtrack album was released.
.\data\Client7\clips\common_voice_en_42732312.mp3,It has one runway which is in length.
.\data\Client7\clips\common_voice_en_42732313.mp3,I am continually seeking opportunities for growth and development.
.\data\Client7\clips\common_voice_en_42732314.mp3,The organisms in the polar region can not survive the climate at the equator.
.\data\Client7\clips\common_voice_en_42732315.mp3,"Still, he realizes they need time to adapt."
.\data\Client7\clips\common_voice_en_42733586.mp3,The Armstrongs became a powerful and warlike clan in Liddesdale and the Debatable Lands.
.\data\Client7\clips\common_voice_en_42733592.mp3,General Richard L. Page.
.\data\Client7\clips\common_voice_en_42733683.mp3,She supposed that we would arrive late due to traffic.
.\data\Client7\clips\common_voice_en_42733684.mp3,He also completed for publication an unfinished sonata of George Pinto.
.\data\Client7\clips\common_voice_en_42733685.mp3,"And as the fourth, myself, Paul Bäumer."
.\data\Client7\clips\common_voice_en_42733686.mp3,"Grauer was born in Staten Island, New York."
.\data\Client7\clips\common_voice_en_42733687.mp3,"As an artist, there are common themes emphasized in his works."
.\data\Client7\clips\common_voice_en_42733688.mp3,They also made diverse attempts to vote in various states across the country.
.\data\Client7\clips\common_voice_en_42733689.mp3,The impact of medicine on human health and longevity cannot be overstated.
.\data\Client7\clips\common_voice_en_42733690.mp3,He attended schools in Brighton and at Euston Square.
.\data\Client7\clips\common_voice_en_42733691.mp3,He was also the secretary of the Kerala state branch of Indian Rationalist Association.
.\data\Client7\clips\common_voice_en_42733692.mp3,Kessel collected some of the first recordings of bird vocalization at Cornell.
.\data\Client7\clips\common_voice_en_42733693.mp3,Analytes containing alkene groups elute more slowly that the analogous compounds lacking alkenes.
.\data\Client7\clips\common_voice_en_42733694.mp3,You can not remove me from the match because you're nothing.
.\data\Client7\clips\common_voice_en_42733695.mp3,"The album was a commercial success, reaching number one on the Norwegian Album Charts."
.\data\Client7\clips\common_voice_en_42733696.mp3,By what time will these boxes have been delivered?
.\data\Client7\clips\common_voice_en_42733697.mp3,It would have been a surprise to hear that she felt attached to him.
